,id,title,abstract,categories,title_abstract
726,0704.0727,"Circuit QED with a Flux Qubit Strongly Coupled to a Coplanar
  Transmission Line Resonator","  We propose a scheme for circuit quantum electrodynamics with a
superconducting flux-qubit coupled to a high-Q coplanar resonator. Assuming
realistic circuit parameters we predict that it is possible to reach the strong
coupling regime. Routes to metrological applications, such as single photon
generation and quantum non-demolition measurements are discussed.
",cond-mat.supr-con,"Circuit QED with a Flux Qubit Strongly Coupled to a Coplanar
  Transmission Line Resonator   We propose a scheme for circuit quantum electrodynamics with a
superconducting flux-qubit coupled to a high-Q coplanar resonator. Assuming
realistic circuit parameters we predict that it is possible to reach the strong
coupling regime. Routes to metrological applications, such as single photon
generation and quantum non-demolition measurements are discussed.
"
714,0704.0715,"Phase separation and flux quantization in the doped quantum dimer model
  on the square and triangular lattices","  The doped two-dimensional quantum dimer model is investigated by numerical
techniques on the square and triangular lattices, with significantly different
results. On the square lattice, at small enough doping, there is always a phase
separation between an insulating valence-bond solid and a uniform superfluid
phase, whereas on the triangular lattice, doping leads directly to a uniform
superfluid in a large portion of the RVB phase. Under an applied Aharonov-Bohm
flux, the superfluid exhibits quantization in terms of half-flux quanta,
consistent with Q=2e elementary charge quanta in transport properties.
",cond-mat.str-el,"Phase separation and flux quantization in the doped quantum dimer model
  on the square and triangular lattices   The doped two-dimensional quantum dimer model is investigated by numerical
techniques on the square and triangular lattices, with significantly different
results. On the square lattice, at small enough doping, there is always a phase
separation between an insulating valence-bond solid and a uniform superfluid
phase, whereas on the triangular lattice, doping leads directly to a uniform
superfluid in a large portion of the RVB phase. Under an applied Aharonov-Bohm
flux, the superfluid exhibits quantization in terms of half-flux quanta,
consistent with Q=2e elementary charge quanta in transport properties.
"
722,0704.0723,"Coupled electron and phonon transport in one-dimensional atomic
  junctions","  Employing the nonequilibrium Green's function method, we develop a fully
quantum mechanical model to study the coupled electron-phonon transport in
one-dimensional atomic junctions in the presence of a weak electron-phonon
interaction. This model enables us to study the electronic and phononic
transport on an equal footing. We derive the electrical and energy currents of
the coupled electron-phonon system and the energy exchange between them. As an
application, we study the heat dissipation in current carrying atomic junctions
within the self-consistent Born approximation, which guarantees energy current
conservation. We find that the inclusion of phonon transport is important in
determining the heat dissipation and temperature change of the atomic
junctions.
",cond-mat.mes-hall,"Coupled electron and phonon transport in one-dimensional atomic
  junctions   Employing the nonequilibrium Green's function method, we develop a fully
quantum mechanical model to study the coupled electron-phonon transport in
one-dimensional atomic junctions in the presence of a weak electron-phonon
interaction. This model enables us to study the electronic and phononic
transport on an equal footing. We derive the electrical and energy currents of
the coupled electron-phonon system and the energy exchange between them. As an
application, we study the heat dissipation in current carrying atomic junctions
within the self-consistent Born approximation, which guarantees energy current
conservation. We find that the inclusion of phonon transport is important in
determining the heat dissipation and temperature change of the atomic
junctions.
"
384,0704.0385,Super-shell structures and pairing in ultracold trapped Fermi gases,"  We calculate level densities and pairing gaps for an ultracold dilute gas of
fermionic atoms in harmonic traps under the influence of mean field and
anharmonic quartic trap potentials. Super-shell structures, which were found in
Hartree-Fock calculations, are calculated analytically within periodic orbit
theory as well as from WKB calculations. For attractive interactions, the
underlying level densities are crucial for pairing and super-shell structures
in gaps are predicted.
",cond-mat.other,"Super-shell structures and pairing in ultracold trapped Fermi gases   We calculate level densities and pairing gaps for an ultracold dilute gas of
fermionic atoms in harmonic traps under the influence of mean field and
anharmonic quartic trap potentials. Super-shell structures, which were found in
Hartree-Fock calculations, are calculated analytically within periodic orbit
theory as well as from WKB calculations. For attractive interactions, the
underlying level densities are crucial for pairing and super-shell structures
in gaps are predicted.
"
172,0704.0173,Bonding of H in O vacancies of ZnO,"  We investigate the bonding of H in O vacancies of ZnO using density
functional calculations. We find that H is anionic and does not form
multicenter bonds with Zn in this compound.
",cond-mat.mtrl-sci,"Bonding of H in O vacancies of ZnO   We investigate the bonding of H in O vacancies of ZnO using density
functional calculations. We find that H is anionic and does not form
multicenter bonds with Zn in this compound.
"
243,0704.0244,"Comparison of exact-exchange calculations for solids in
  current-spin-density- and spin-density-functional theory","  The relative merits of current-spin-density- and spin-density-functional
theory are investigated for solids treated within the exact-exchange-only
approximation. Spin-orbit splittings and orbital magnetic moments are
determined at zero external magnetic field. We find that for magnetic (Fe, Co
and Ni) and non-magnetic (Si and Ge) solids, the exact-exchange
current-spin-density functional approach does not significantly improve the
accuracy of the corresponding spin-density functional results.
",cond-mat.mtrl-sci,"Comparison of exact-exchange calculations for solids in
  current-spin-density- and spin-density-functional theory   The relative merits of current-spin-density- and spin-density-functional
theory are investigated for solids treated within the exact-exchange-only
approximation. Spin-orbit splittings and orbital magnetic moments are
determined at zero external magnetic field. We find that for magnetic (Fe, Co
and Ni) and non-magnetic (Si and Ge) solids, the exact-exchange
current-spin-density functional approach does not significantly improve the
accuracy of the corresponding spin-density functional results.
"
319,0704.0320,Probability distributions generated by fractional diffusion equations,"  Fractional calculus allows one to generalize the linear, one-dimensional,
diffusion equation by replacing either the first time derivative or the second
space derivative by a derivative of fractional order. The fundamental solutions
of these equations provide probability density functions, evolving on time or
variable in space, which are related to the class of stable distributions. This
property is a noteworthy generalization of what happens for the standard
diffusion equation and can be relevant in treating financial and economical
problems where the stable probability distributions play a key role.
",cond-mat.stat-mech,"Probability distributions generated by fractional diffusion equations   Fractional calculus allows one to generalize the linear, one-dimensional,
diffusion equation by replacing either the first time derivative or the second
space derivative by a derivative of fractional order. The fundamental solutions
of these equations provide probability density functions, evolving on time or
variable in space, which are related to the class of stable distributions. This
property is a noteworthy generalization of what happens for the standard
diffusion equation and can be relevant in treating financial and economical
problems where the stable probability distributions play a key role.
"
1390,0704.1391,Path integrals for stiff polymers applied to membrane physics,"  Path integrals similar to those describing stiff polymers arise in the
Helfrich model for membranes. We show how these types of path integrals can be
evaluated and apply our results to study the thermodynamics of a minority
stripe phase in a bulk membrane. The fluctuation induced contribution to the
line tension between the stripe and the bulk phase is computed, as well as the
effective interaction between the two phases in the tensionless case where the
two phases have differing bending rigidities.
",cond-mat.soft,"Path integrals for stiff polymers applied to membrane physics   Path integrals similar to those describing stiff polymers arise in the
Helfrich model for membranes. We show how these types of path integrals can be
evaluated and apply our results to study the thermodynamics of a minority
stripe phase in a bulk membrane. The fluctuation induced contribution to the
line tension between the stripe and the bulk phase is computed, as well as the
effective interaction between the two phases in the tensionless case where the
two phases have differing bending rigidities.
"
112,0704.0113,"Langmuir blodgett assembly of densely aligned single walled carbon
  nanotubes from bulk materials","  Single walled carbon nanotubes exhibit advanced electrical and surface
properties useful for high performance nanoelectronics. Important to future
manufacturing of nanotube circuits is large scale assembly of SWNTs into
aligned forms. Despite progress in assembly and oriented synthesis, pristine
SWNTs in aligned and close-packed form remain elusive and needed for high
current, speed and density devices through collective operations of parallel
SWNTs. Here, we develop a Langmuir Blodgett method achieving monolayers of
aligned SWNTs with dense packing, central to which is a non covalent polymer
functionalization by PmPV imparting high solubility and stability of SWNTs in
an organic solvent DCE. Pressure cycling or annealing during LB film
compression reduces hysteresis and facilitates high degree alignment and
packing of SWNTs characterized by microscopy and polarized Raman spectroscopy.
The monolayer SWNTs are readily patterned for device integration by
microfabrication, enabling the highest currents 3mA through the narrowest
regions packed with aligned SWNTs thus far.
",cond-mat.mtrl-sci,"Langmuir blodgett assembly of densely aligned single walled carbon
  nanotubes from bulk materials   Single walled carbon nanotubes exhibit advanced electrical and surface
properties useful for high performance nanoelectronics. Important to future
manufacturing of nanotube circuits is large scale assembly of SWNTs into
aligned forms. Despite progress in assembly and oriented synthesis, pristine
SWNTs in aligned and close-packed form remain elusive and needed for high
current, speed and density devices through collective operations of parallel
SWNTs. Here, we develop a Langmuir Blodgett method achieving monolayers of
aligned SWNTs with dense packing, central to which is a non covalent polymer
functionalization by PmPV imparting high solubility and stability of SWNTs in
an organic solvent DCE. Pressure cycling or annealing during LB film
compression reduces hysteresis and facilitates high degree alignment and
packing of SWNTs characterized by microscopy and polarized Raman spectroscopy.
The monolayer SWNTs are readily patterned for device integration by
microfabrication, enabling the highest currents 3mA through the narrowest
regions packed with aligned SWNTs thus far.
"
392,0704.0393,A thermodynamic model for the melting of supported metal nanoparticles,"  We construct a simple thermodynamic model to describe the melting of a
supported metal nanoparticle with a spherically curved free surface both with
and without surface melting. We use the model to investigate the results of
recent molecular dynamics simulations, which suggest the melting temperature of
a supported metal particle is the same as that of a free spherical particle
with the same surface curvature. Our model shows that this is only the case
when the contact angles of the supported solid and liquid particles are
similar. This is also the case for the temperature at which surface melting
begins.
",cond-mat.mtrl-sci,"A thermodynamic model for the melting of supported metal nanoparticles   We construct a simple thermodynamic model to describe the melting of a
supported metal nanoparticle with a spherically curved free surface both with
and without surface melting. We use the model to investigate the results of
recent molecular dynamics simulations, which suggest the melting temperature of
a supported metal particle is the same as that of a free spherical particle
with the same surface curvature. Our model shows that this is only the case
when the contact angles of the supported solid and liquid particles are
similar. This is also the case for the temperature at which surface melting
begins.
"
505,0704.0506,Dimensional crossover of quantum critical behavior in CeCoIn$_5$,"  The nature of quantum criticality in CeCoIn$_5$ is studied by low-temperature
thermal expansion $\alpha(T)$. At the field-induced quantum critical point at
H=5 T a crossover scale $T^\star\approx 0.3$ K is observed, separating
$\alpha(T)/T\propto T^{-1}$ from a weaker $T^{-1/2}$ divergence. We ascribe
this change to a crossover in the dimensionality of the critical fluctuations
which may be coupled to a change from unconventional to conventional quantum
criticality. Disorder, whose effect on quantum criticality is studied in
CeCoIn$_{5-x}$Sn$_x$ ($0\leq x\leq 0.18$), shifts $T^\star$ towards higher
temperatures.
",cond-mat.str-el,"Dimensional crossover of quantum critical behavior in CeCoIn$_5$   The nature of quantum criticality in CeCoIn$_5$ is studied by low-temperature
thermal expansion $\alpha(T)$. At the field-induced quantum critical point at
H=5 T a crossover scale $T^\star\approx 0.3$ K is observed, separating
$\alpha(T)/T\propto T^{-1}$ from a weaker $T^{-1/2}$ divergence. We ascribe
this change to a crossover in the dimensionality of the critical fluctuations
which may be coupled to a change from unconventional to conventional quantum
criticality. Disorder, whose effect on quantum criticality is studied in
CeCoIn$_{5-x}$Sn$_x$ ($0\leq x\leq 0.18$), shifts $T^\star$ towards higher
temperatures.
"
1154,0704.1155,"Noise-induced phase transitions: Effects of the noises' statistics and
  spectrum","  The local, uncorrelated multiplicative noises driving a second-order, purely
noise-induced, ordering phase transition (NIPT) were assumed to be Gaussian and
white in the model of [Phys. Rev. Lett. \textbf{73}, 3395 (1994)]. The
potential scientific and technological interest of this phenomenon calls for a
study of the effects of the noises' statistics and spectrum. This task is
facilitated if these noises are dynamically generated by means of stochastic
differential equations (SDE) driven by white noises. One such case is that of
Ornstein--Uhlenbeck noises which are stationary, with Gaussian pdf and a
variance reduced by the self-correlation time (\tau), and whose effect on the
NIPT phase diagram has been studied some time ago. Another such case is when
the stationary pdf is a (colored) Tsallis' (q)--\emph{Gaussian} which, being a
\emph{fat-tail} distribution for (q>1) and a \emph{compact-support} one for
(q<1), allows for a controlled exploration of the effects of the departure from
Gaussian statistics. As done before with stochastic resonance and other
phenomena, we now exploit this tool to study--within a simple mean-field
approximation and with an emphasis on the \emph{order parameter} and the
``\emph{susceptibility}''--the combined effect on NIPT of the noises'
statistics and spectrum. Even for relatively small (\tau), it is shown that
whereas fat-tail noise distributions ((q>1)) counteract the effect of
self-correlation, compact-support ones ((q<1)) enhance it. Also, an interesting
effect on the susceptibility is seen in the last case.
",cond-mat.stat-mech,"Noise-induced phase transitions: Effects of the noises' statistics and
  spectrum   The local, uncorrelated multiplicative noises driving a second-order, purely
noise-induced, ordering phase transition (NIPT) were assumed to be Gaussian and
white in the model of [Phys. Rev. Lett. \textbf{73}, 3395 (1994)]. The
potential scientific and technological interest of this phenomenon calls for a
study of the effects of the noises' statistics and spectrum. This task is
facilitated if these noises are dynamically generated by means of stochastic
differential equations (SDE) driven by white noises. One such case is that of
Ornstein--Uhlenbeck noises which are stationary, with Gaussian pdf and a
variance reduced by the self-correlation time (\tau), and whose effect on the
NIPT phase diagram has been studied some time ago. Another such case is when
the stationary pdf is a (colored) Tsallis' (q)--\emph{Gaussian} which, being a
\emph{fat-tail} distribution for (q>1) and a \emph{compact-support} one for
(q<1), allows for a controlled exploration of the effects of the departure from
Gaussian statistics. As done before with stochastic resonance and other
phenomena, we now exploit this tool to study--within a simple mean-field
approximation and with an emphasis on the \emph{order parameter} and the
``\emph{susceptibility}''--the combined effect on NIPT of the noises'
statistics and spectrum. Even for relatively small (\tau), it is shown that
whereas fat-tail noise distributions ((q>1)) counteract the effect of
self-correlation, compact-support ones ((q<1)) enhance it. Also, an interesting
effect on the susceptibility is seen in the last case.
"
131,0704.0132,Counterflow of electrons in two isolated quantum point contacts,"  We study the interaction between two adjacent but electrically isolated
quantum point contacts (QPCs). At high enough source-drain bias on one QPC, the
drive QPC, we detect a finite electric current in the second, unbiased,
detector QPC. The current generated at the detector QPC always flows in the
opposite direction than the current of the drive QPC. The generated current is
maximal, if the detector QPC is tuned to a transition region between its
quantized conductance plateaus and the drive QPC is almost pinched-off. We
interpret this counterflow phenomenon in terms of an asymmetric phonon-induced
excitation of electrons in the leads of the detector QPC.
",cond-mat.mes-hall,"Counterflow of electrons in two isolated quantum point contacts   We study the interaction between two adjacent but electrically isolated
quantum point contacts (QPCs). At high enough source-drain bias on one QPC, the
drive QPC, we detect a finite electric current in the second, unbiased,
detector QPC. The current generated at the detector QPC always flows in the
opposite direction than the current of the drive QPC. The generated current is
maximal, if the detector QPC is tuned to a transition region between its
quantized conductance plateaus and the drive QPC is almost pinched-off. We
interpret this counterflow phenomenon in terms of an asymmetric phonon-induced
excitation of electrons in the leads of the detector QPC.
"
121,0704.0122,Spinor dipolar Bose-Einstein condensates; Classical spin approach,"  Magnetic dipole-dipole interaction dominated Bose-Einstein condensates are
discussed under spinful situations. We treat the spin degrees of freedom as a
classical spin vector, approaching from large spin limit to obtain an effective
minimal Hamiltonian; a version extended from a non-linear sigma model. By
solving the Gross-Pitaevskii equation we find several novel spin textures where
the mass density and spin density are strongly coupled, depending upon trap
geometries due to the long-range and anisotropic natures of the dipole-dipole
interaction.
",cond-mat.other,"Spinor dipolar Bose-Einstein condensates; Classical spin approach   Magnetic dipole-dipole interaction dominated Bose-Einstein condensates are
discussed under spinful situations. We treat the spin degrees of freedom as a
classical spin vector, approaching from large spin limit to obtain an effective
minimal Hamiltonian; a version extended from a non-linear sigma model. By
solving the Gross-Pitaevskii equation we find several novel spin textures where
the mass density and spin density are strongly coupled, depending upon trap
geometries due to the long-range and anisotropic natures of the dipole-dipole
interaction.
"
184,0704.0185,Potfit: effective potentials from ab-initio data,"  We present a program called potfit which generates an effective atomic
interaction potential by matching it to a set of reference data computed in
first-principles calculations. It thus allows to perform large-scale atomistic
simulations of materials with physically justified potentials. We describe the
fundamental principles behind the program, emphasizing its flexibility in
adapting to different systems and potential models, while also discussing its
limitations. The program has been used successfully in creating effective
potentials for a number of complex intermetallic alloys, notably quasicrystals.
",cond-mat.mtrl-sci,"Potfit: effective potentials from ab-initio data   We present a program called potfit which generates an effective atomic
interaction potential by matching it to a set of reference data computed in
first-principles calculations. It thus allows to perform large-scale atomistic
simulations of materials with physically justified potentials. We describe the
fundamental principles behind the program, emphasizing its flexibility in
adapting to different systems and potential models, while also discussing its
limitations. The program has been used successfully in creating effective
potentials for a number of complex intermetallic alloys, notably quasicrystals.
"
1894,0704.1895,Jamming dynamics in grain mixtures : An extended hydrodynamic approach,"  We study jamming in granular mixtures from the novel point of view of
extended hydrodynamics. Using a hard sphere binary mixture model we predict
that a few large grains are expected to get caged more effectively in a matrix
of small grains compared to a few small grains in a matrix of larger ones. A
similar effect has been experimentally seen in the context of colloidal
mixtures.
",cond-mat.soft,"Jamming dynamics in grain mixtures : An extended hydrodynamic approach   We study jamming in granular mixtures from the novel point of view of
extended hydrodynamics. Using a hard sphere binary mixture model we predict
that a few large grains are expected to get caged more effectively in a matrix
of small grains compared to a few small grains in a matrix of larger ones. A
similar effect has been experimentally seen in the context of colloidal
mixtures.
"
768,0704.0769,The Fermionic Density-functional at Feshbach Resonance,"  We consider a dilute gas of neutral unpolarized fermionic atoms at zero
temperature.The atoms interact via a short range (tunable) attractive
interaction. We demonstrate analytically a curious property of the gas at
unitarity. Namely, the correlation energy of the gas, evaluated by second order
perturbation theory, has the same density dependence as the first order
exchange energy, and the two almost exactly cancel each other at Feshbach
resonance irrespective of the shape of the potential, provided $(\mu r_s) >>
1$. Here $(\mu)^{-1}$ is the range of the two-body potential, and $r_s$ is
defined through the number density $n=3/(4\pi r_s^3)$. The implications of this
result for universality is discussed.
",cond-mat.other,"The Fermionic Density-functional at Feshbach Resonance   We consider a dilute gas of neutral unpolarized fermionic atoms at zero
temperature.The atoms interact via a short range (tunable) attractive
interaction. We demonstrate analytically a curious property of the gas at
unitarity. Namely, the correlation energy of the gas, evaluated by second order
perturbation theory, has the same density dependence as the first order
exchange energy, and the two almost exactly cancel each other at Feshbach
resonance irrespective of the shape of the potential, provided $(\mu r_s) >>
1$. Here $(\mu)^{-1}$ is the range of the two-body potential, and $r_s$ is
defined through the number density $n=3/(4\pi r_s^3)$. The implications of this
result for universality is discussed.
"
2210,0704.2211,"Electronic Transport in the Oxygen Deficient Ferromagnetic
  Semiconducting TiO$_{2-\delta}$","  TiO$_{2-\delta}$ films were deposited on (100) Lanthanum aluminates
LaAlO$_{3}$ substrates at a very low oxygen chamber pressure $P\approx 0.3$
mtorr employing a pulsed laser ablation deposition technique. In previous work,
it was established that the oxygen deficiency in these films induced
ferromagnetism. In this work it is demonstrated that this same oxygen
deficiency also gives rise to semiconductor titanium ion impurity donor energy
levels. Transport resistivity measurements in thin films of TiO$_{2-\delta}$
are presented as a function of temperature and magnetic field. Magneto- and
Hall- resistivity is explained in terms of electronic excitations from the
titanium ion donor levels into the conduction band.
",cond-mat.other,"Electronic Transport in the Oxygen Deficient Ferromagnetic
  Semiconducting TiO$_{2-\delta}$   TiO$_{2-\delta}$ films were deposited on (100) Lanthanum aluminates
LaAlO$_{3}$ substrates at a very low oxygen chamber pressure $P\approx 0.3$
mtorr employing a pulsed laser ablation deposition technique. In previous work,
it was established that the oxygen deficiency in these films induced
ferromagnetism. In this work it is demonstrated that this same oxygen
deficiency also gives rise to semiconductor titanium ion impurity donor energy
levels. Transport resistivity measurements in thin films of TiO$_{2-\delta}$
are presented as a function of temperature and magnetic field. Magneto- and
Hall- resistivity is explained in terms of electronic excitations from the
titanium ion donor levels into the conduction band.
"
1881,0704.1882,The power of choice in network growth,"  The ""power of choice"" has been shown to radically alter the behavior of a
number of randomized algorithms. Here we explore the effects of choice on
models of tree and network growth. In our models each new node has k randomly
chosen contacts, where k > 1 is a constant. It then attaches to whichever one
of these contacts is most desirable in some sense, such as its distance from
the root or its degree. Even when the new node has just two choices, i.e., when
k=2, the resulting network can be very different from a random graph or tree.
For instance, if the new node attaches to the contact which is closest to the
root of the tree, the distribution of depths changes from Poisson to a
traveling wave solution. If the new node attaches to the contact with the
smallest degree, the degree distribution is closer to uniform than in a random
graph, so that with high probability there are no nodes in the network with
degree greater than O(log log N). Finally, if the new node attaches to the
contact with the largest degree, we find that the degree distribution is a
power law with exponent -1 up to degrees roughly equal to k, with an
exponential cutoff beyond that; thus, in this case, we need k >> 1 to see a
power law over a wide range of degrees.
",cond-mat.stat-mech,"The power of choice in network growth   The ""power of choice"" has been shown to radically alter the behavior of a
number of randomized algorithms. Here we explore the effects of choice on
models of tree and network growth. In our models each new node has k randomly
chosen contacts, where k > 1 is a constant. It then attaches to whichever one
of these contacts is most desirable in some sense, such as its distance from
the root or its degree. Even when the new node has just two choices, i.e., when
k=2, the resulting network can be very different from a random graph or tree.
For instance, if the new node attaches to the contact which is closest to the
root of the tree, the distribution of depths changes from Poisson to a
traveling wave solution. If the new node attaches to the contact with the
smallest degree, the degree distribution is closer to uniform than in a random
graph, so that with high probability there are no nodes in the network with
degree greater than O(log log N). Finally, if the new node attaches to the
contact with the largest degree, we find that the degree distribution is a
power law with exponent -1 up to degrees roughly equal to k, with an
exponential cutoff beyond that; thus, in this case, we need k >> 1 to see a
power law over a wide range of degrees.
"
5519,0705.1517,"Weak first order transition in the three-dimensional site-diluted Ising
  antiferromagnet in a magnetic field","  We perform intensive numerical simulations of the three-dimensional
site-diluted Ising antiferromagnet in a magnetic field at high values of the
external applied field. Even if data for small lattice sizes are compatible
with second-order criticality, the critical behavior of the system shows a
crossover from second-order to first-order behavior for large system sizes,
where signals of latent heat appear. We propose ""apparent"" critical exponents
for the dependence of some observables with the lattice size for a generic
(disordered) first-order phase transition.
",cond-mat.dis-nn,"Weak first order transition in the three-dimensional site-diluted Ising
  antiferromagnet in a magnetic field   We perform intensive numerical simulations of the three-dimensional
site-diluted Ising antiferromagnet in a magnetic field at high values of the
external applied field. Even if data for small lattice sizes are compatible
with second-order criticality, the critical behavior of the system shows a
crossover from second-order to first-order behavior for large system sizes,
where signals of latent heat appear. We propose ""apparent"" critical exponents
for the dependence of some observables with the lattice size for a generic
(disordered) first-order phase transition.
"
4225,0705.0223,"On the multifractal statistics of the local order parameter at random
  critical points : application to wetting transitions with disorder","  Disordered systems present multifractal properties at criticality. In
particular, as discovered by Ludwig (A.W.W. Ludwig, Nucl. Phys. B 330, 639
(1990)) on the case of diluted two-dimensional Potts model, the moments
$\bar{\rho^q(r)}$ of the local order parameter $\rho(r)$ scale with a set
$x(q)$ of non-trivial exponents $x(q) \neq q x(1)$. In this paper, we revisit
these ideas to incorporate more recent findings: (i) whenever a multifractal
measure $w(r)$ normalized over space $ \sum_r w(r)=1$ occurs in a random
system, it is crucial to distinguish between the typical values and the
disorder averaged values of the generalized moments $Y_q =\sum_r w^q(r)$, since
they may scale with different generalized dimensions $D(q)$ and $\tilde D(q)$
(ii) as discovered by Wiseman and Domany (S. Wiseman and E. Domany, Phys Rev E
{\bf 52}, 3469 (1995)), the presence of an infinite correlation length induces
a lack of self-averaging at critical points for thermodynamic observables, in
particular for the order parameter. After this general discussion valid for any
random critical point, we apply these ideas to random polymer models that can
be studied numerically for large sizes and good statistics over the samples. We
study the bidimensional wetting or the Poland-Scheraga DNA model with loop
exponent $c=1.5$ (marginal disorder) and $c=1.75$ (relevant disorder). Finally,
we argue that the presence of finite Griffiths ordered clusters at criticality
determines the asymptotic value $x(q \to \infty) =d$ and the minimal value $
\alpha_{min}=D(q \to \infty)=d-x(1) $ of the typical multifractal spectrum
$f(\alpha)$.
",cond-mat.dis-nn,"On the multifractal statistics of the local order parameter at random
  critical points : application to wetting transitions with disorder   Disordered systems present multifractal properties at criticality. In
particular, as discovered by Ludwig (A.W.W. Ludwig, Nucl. Phys. B 330, 639
(1990)) on the case of diluted two-dimensional Potts model, the moments
$\bar{\rho^q(r)}$ of the local order parameter $\rho(r)$ scale with a set
$x(q)$ of non-trivial exponents $x(q) \neq q x(1)$. In this paper, we revisit
these ideas to incorporate more recent findings: (i) whenever a multifractal
measure $w(r)$ normalized over space $ \sum_r w(r)=1$ occurs in a random
system, it is crucial to distinguish between the typical values and the
disorder averaged values of the generalized moments $Y_q =\sum_r w^q(r)$, since
they may scale with different generalized dimensions $D(q)$ and $\tilde D(q)$
(ii) as discovered by Wiseman and Domany (S. Wiseman and E. Domany, Phys Rev E
{\bf 52}, 3469 (1995)), the presence of an infinite correlation length induces
a lack of self-averaging at critical points for thermodynamic observables, in
particular for the order parameter. After this general discussion valid for any
random critical point, we apply these ideas to random polymer models that can
be studied numerically for large sizes and good statistics over the samples. We
study the bidimensional wetting or the Poland-Scheraga DNA model with loop
exponent $c=1.5$ (marginal disorder) and $c=1.75$ (relevant disorder). Finally,
we argue that the presence of finite Griffiths ordered clusters at criticality
determines the asymptotic value $x(q \to \infty) =d$ and the minimal value $
\alpha_{min}=D(q \to \infty)=d-x(1) $ of the typical multifractal spectrum
$f(\alpha)$.
"
83972,0809.3680,"Many-body approach to low-lying collective excitations in a BEC
  approaching collapse","  An approximate many-body theory incorporating two-body correlations has been
employed to calculate low-lying collective multipole frequencies in a
Bose-Einstein condensate containing $A$ bosons, for different values of the
interaction parameter $\lambda=\frac{Aa_{s}}{a_{ho}}$. Significant difference
from the variational estimate of the Gross-Pitaevskii equation has been found
near the collapse region. This is attributed to two-body correlations and
finite range attraction of the realistic interatomic interaction. A large
deviation from the hydrodynamic model is also seen for the second monopole
breathing mode and the quadrupole mode for large positive $\lambda$.
",cond-mat.quant-gas,"Many-body approach to low-lying collective excitations in a BEC
  approaching collapse   An approximate many-body theory incorporating two-body correlations has been
employed to calculate low-lying collective multipole frequencies in a
Bose-Einstein condensate containing $A$ bosons, for different values of the
interaction parameter $\lambda=\frac{Aa_{s}}{a_{ho}}$. Significant difference
from the variational estimate of the Gross-Pitaevskii equation has been found
near the collapse region. This is attributed to two-body correlations and
finite range attraction of the realistic interatomic interaction. A large
deviation from the hydrodynamic model is also seen for the second monopole
breathing mode and the quadrupole mode for large positive $\lambda$.
"
2786,0704.2787,Microscopic mechanism for cold denaturation,"  We elucidate the mechanism of cold denaturation through constant-pressure
simulations for a model of hydrophobic molecules in an explicit solvent. We
find that the temperature dependence of the hydrophobic effect is the driving
force/induces/facilitates cold denaturation. The physical mechanism underlying
this phenomenon is identified as the destabilization of hydrophobic contact in
favor of solvent separated configurations, the same mechanism seen in pressure
induced denaturation. A phenomenological explanation proposed for the mechanism
is suggested as being responsible for cold denaturation in real proteins.
",cond-mat.soft,"Microscopic mechanism for cold denaturation   We elucidate the mechanism of cold denaturation through constant-pressure
simulations for a model of hydrophobic molecules in an explicit solvent. We
find that the temperature dependence of the hydrophobic effect is the driving
force/induces/facilitates cold denaturation. The physical mechanism underlying
this phenomenon is identified as the destabilization of hydrophobic contact in
favor of solvent separated configurations, the same mechanism seen in pressure
induced denaturation. A phenomenological explanation proposed for the mechanism
is suggested as being responsible for cold denaturation in real proteins.
"
1143,0704.1144,Optimization in Gradient Networks,"  Gradient networks can be used to model the dominant structure of complex
networks. Previous works have focused on random gradient networks. Here we
study gradient networks that minimize jamming on substrate networks with
scale-free and Erd\H{o}s-R\'enyi structure. We introduce structural
correlations and strongly reduce congestion occurring on the network by using a
Monte Carlo optimization scheme. This optimization alters the degree
distribution and other structural properties of the resulting gradient
networks. These results are expected to be relevant for transport and other
dynamical processes in real network systems.
",cond-mat.stat-mech,"Optimization in Gradient Networks   Gradient networks can be used to model the dominant structure of complex
networks. Previous works have focused on random gradient networks. Here we
study gradient networks that minimize jamming on substrate networks with
scale-free and Erd\H{o}s-R\'enyi structure. We introduce structural
correlations and strongly reduce congestion occurring on the network by using a
Monte Carlo optimization scheme. This optimization alters the degree
distribution and other structural properties of the resulting gradient
networks. These results are expected to be relevant for transport and other
dynamical processes in real network systems.
"
